own_action,opp_action,own_payoff,opp_payoff
C,D,0,10
C,D,0,10
D,D,1,1
C,D,0,10
C,D,0,10
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
C,D,0,10
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
C,D,0,10
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
C,D,0,10
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
C,D,0,10
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
C,D,0,10
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
C,D,0,10
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
C,D,0,10
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
D,D,1,1
C,D,0,10
