own_action,opp_action,own_payoff,opp_payoff
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
C,C,5,5
